unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,bridge_highway_name,bridge_highway_segment,closed_date,Processing_time,resolution_description,resolution_action_updated_date,bridge_highway_direction,facility_type,road_ramp,taxi_pick_up_location,vehicle_type,taxi_company_borough
52579018,"Sunday, November 21, 2021",NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11236,2184 CANARSIE ROAD,CANARSIE ROAD,SCHENCK STREET,SHORE PARKWAY,SCHENCK STREET,SHORE PARKWAY,ADDRESS,BROOKLYN,CANARSIE ROAD,In Progress,18 BROOKLYN,3083260007,BROOKLYN,1015361,168935,PHONE,Unspecified,BROOKLYN,40.63030946,-73.88791681,"{'latitude': '40.63030946199053', 'longitude': '-73.8879168055843', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13827,5,2,8,42,,,,,,,,,,,,
52576271,"Sunday, November 21, 2021",NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,10468,2243 HAMPDEN PLACE,HAMPDEN PLACE,WEST  182 STREET,WEST FORDHAM ROAD,WEST  182 STREET,WEST FORDHAM ROAD,ADDRESS,BRONX,HAMPDEN PLACE,In Progress,07 BRONX,2032340021,BRONX,1008671,252958,PHONE,Unspecified,BRONX,40.86095224,-73.91171367,"{'latitude': '40.8609522371284', 'longitude': '-73.91171367317361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11606,24,5,29,34,,,,,,,,,,,,
52574232,"Sunday, November 21, 2021",DOHMH,Department of Health and Mental Hygiene,Food Establishment,Kitchen/Food Prep Area,Restaurant/Bar/Deli/Bakery,11102,30-01 30 AVENUE,30 AVENUE,30 STREET,31 STREET,30 STREET,31 STREET,ADDRESS,ASTORIA,30 AVENUE,In Progress,01 QUEENS,4005950009,QUEENS,1005835,218806,ONLINE,Unspecified,QUEENS,40.76722197,-73.92207615,"{'latitude': '40.76722197214911', 'longitude': '-73.92207615102693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16859,39,3,4,72,,,,,,,,,,,,
52577485,"Sunday, November 21, 2021",NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11205,93 ST EDWARDS STREET,ST EDWARDS STREET,MONUMENT WALK,AUBURN PLACE,MONUMENT WALK,AUBURN PLACE,ADDRESS,BROOKLYN,ST EDWARDS STREET,In Progress,02 BROOKLYN,3020390001,BROOKLYN,990355,192246,PHONE,Unspecified,BROOKLYN,40.69434553,-73.97798448,"{'latitude': '40.694345527578996', 'longitude': '-73.97798447750067', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17212,68,2,48,55,,,,,,,,,,,,
52575335,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10001,518 WEST   27 STREET,WEST   27 STREET,HIGH LINE,11 AVENUE,HIGH LINE,11 AVENUE,ADDRESS,NEW YORK,WEST   27 STREET,In Progress,04 MANHATTAN,1006980047,MANHATTAN,983299,212763,ONLINE,Unspecified,MANHATTAN,40.75066178,-74.00343234,"{'latitude': '40.75066178373737', 'longitude': '-74.00343234416158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11722,12,4,10,6,,,,,,,,,,,,
52579736,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452,1350 SHAKESPEARE AVENUE,SHAKESPEARE AVENUE,WEST  170 STREET,EDWARD L GRANT HIGHWAY,WEST  170 STREET,EDWARD L GRANT HIGHWAY,ADDRESS,BRONX,SHAKESPEARE AVENUE,In Progress,04 BRONX,2025200001,BRONX,1005766,245546,ONLINE,Unspecified,BRONX,40.84061606,-73.92223955,"{'latitude': '40.840616059173904', 'longitude': '-73.92223955376222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10930,50,5,42,27,,,,,,,,,,,,
52578594,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11201,228 DUFFIELD STREET,DUFFIELD STREET,WILLOUGHBY STREET,FULTON STREET,WILLOUGHBY STREET,FULTON STREET,ADDRESS,BROOKLYN,DUFFIELD STREET,In Progress,02 BROOKLYN,3001450032,BROOKLYN,988578,191138,ONLINE,Unspecified,BROOKLYN,40.69130537,-73.98439331,"{'latitude': '40.69130537119105', 'longitude': '-73.98439331099416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16865,68,2,38,54,,,,,,,,,,,,
52579415,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10013,145 MULBERRY STREET,MULBERRY STREET,HESTER STREET,GRAND STREET,HESTER STREET,GRAND STREET,ADDRESS,NEW YORK,MULBERRY STREET,In Progress,02 MANHATTAN,1002367502,MANHATTAN,984929,201166,ONLINE,Unspecified,MANHATTAN,40.7188309,-73.99755053,"{'latitude': '40.71883090184477', 'longitude': '-73.99755052720725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12076,57,4,32,2,,,,,,,,,,,,
52575369,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11423,202-15 HILLSIDE AVENUE,HILLSIDE AVENUE,202 STREET,204 STREET,202 STREET,204 STREET,ADDRESS,HOLLIS,HILLSIDE AVENUE,In Progress,08 QUEENS,4105330001,QUEENS,1050265,201704,ONLINE,Unspecified,QUEENS,40.7200613,-73.76184811,"{'latitude': '40.7200612991121', 'longitude': '-73.76184811366676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24332,25,3,16,65,,,,,,,,,,,,
52574397,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11368,98-14 41 AVENUE,41 AVENUE,98 STREET,99 STREET,98 STREET,99 STREET,ADDRESS,CORONA,41 AVENUE,In Progress,04 QUEENS,4016140020,QUEENS,1021304,211701,ONLINE,Unspecified,QUEENS,40.74766928,-73.86627085,"{'latitude': '40.74766928003035', 'longitude': '-73.86627085488415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14510,66,3,21,68,,,,,,,,,,,,
52574392,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10032,600 WEST  157 STREET,WEST  157 STREET,EDWARD M MORGAN PLACE,RIVERSIDE DRIVE,EDWARD M MORGAN PLACE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  157 STREET,In Progress,12 MANHATTAN,1021340090,MANHATTAN,999304,243264,ONLINE,Unspecified,MANHATTAN,40.83436601,-73.94559882,"{'latitude': '40.83436601237611', 'longitude': '-73.94559882357741', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090,47,4,23,21,,,,,,,,,,,,
52572855,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11417,105-38 92 STREET,92 STREET,LIBERTY AVENUE,107 AVENUE,LIBERTY AVENUE,107 AVENUE,ADDRESS,OZONE PARK,92 STREET,In Progress,10 QUEENS,4091580025,QUEENS,1026758,187002,ONLINE,Unspecified,QUEENS,40.67985199,-73.84674318,"{'latitude': '40.67985199037287', 'longitude': '-73.84674317619775', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24013,62,3,41,64,,,,,,,,,,,,
52576440,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11206,601 MARCY AVENUE,MARCY AVENUE,VERNON AVENUE,WILLOUGHBY AVENUE,VERNON AVENUE,WILLOUGHBY AVENUE,ADDRESS,BROOKLYN,MARCY AVENUE,In Progress,03 BROOKLYN,3017590005,BROOKLYN,998393,192263,ONLINE,Unspecified,BROOKLYN,40.69438299,-73.94899824,"{'latitude': '40.694382993483686', 'longitude': '-73.94899824340898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17213,69,2,49,51,,,,,,,,,,,,
52572856,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,638 WATER STREET,WATER STREET,GOUVERNEUR SLIP EAST,JACKSON STREET,GOUVERNEUR SLIP EAST,JACKSON STREET,ADDRESS,NEW YORK,WATER STREET,In Progress,03 MANHATTAN,1002600001,MANHATTAN,989291,198482,ONLINE,Unspecified,MANHATTAN,40.71146255,-73.98181675,"{'latitude': '40.71146255359412', 'longitude': '-73.9818167489294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723,70,4,50,4,,,,,,,,,,,,
52574248,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11412,199-10 109 AVENUE,109 AVENUE,199 STREET,200 STREET,199 STREET,200 STREET,ADDRESS,SAINT ALBANS,109 AVENUE,In Progress,12 QUEENS,4108990018,QUEENS,1051124,197000,ONLINE,Unspecified,QUEENS,40.70714354,-73.75879598,"{'latitude': '40.707143538434984', 'longitude': '-73.75879597805749', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",15312,41,3,6,61,,,,,,,,,,,,
52579421,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,919 PARK PLACE,PARK PLACE,NEW YORK AVENUE,BROOKLYN AVENUE,NEW YORK AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,PARK PLACE,In Progress,08 BROOKLYN,3012350001,BROOKLYN,998997,184564,ONLINE,Unspecified,BROOKLYN,40.67325001,-73.94683698,"{'latitude': '40.67325001264197', 'longitude': '-73.94683698020148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17615,16,2,49,49,,,,,,,,,,,,
52576420,"Sunday, November 21, 2021",DOHMH,Department of Health and Mental Hygiene,Food Establishment,Dishwashing/Utensils,Restaurant/Bar/Deli/Bakery,10009,14 1 AVENUE,1 AVENUE,EAST    1 STREET,EAST    2 STREET,EAST    1 STREET,EAST    2 STREET,ADDRESS,NEW YORK,1 AVENUE,In Progress,03 MANHATTAN,1004290002,MANHATTAN,987496,202848,ONLINE,Unspecified,MANHATTAN,40.72344702,-73.98828934,"{'latitude': '40.72344701648776', 'longitude': '-73.98828933809341', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11724,70,4,50,5,,,,,,,,,,,,
52575336,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11222,732 MANHATTAN AVENUE,MANHATTAN AVENUE,NORMAN AVENUE,MESEROLE AVENUE,NORMAN AVENUE,MESEROLE AVENUE,ADDRESS,BROOKLYN,MANHATTAN AVENUE,In Progress,01 BROOKLYN,3026200048,BROOKLYN,997506,203862,ONLINE,Unspecified,BROOKLYN,40.72622086,-73.95217406,"{'latitude': '40.7262208634366', 'longitude': '-73.95217405946381', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18182,36,2,38,57,,,,,,,,,,,,
52576279,"Sunday, November 21, 2021",NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10035,188 EAST  126 STREET,EAST  126 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST  126 STREET,In Progress,11 MANHATTAN,,MANHATTAN,1002035,232400,MOBILE,Unspecified,MANHATTAN,40.80454232,-73.93575851,"{'latitude': '40.804542323516024', 'longitude': '-73.9357585067606', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13093,7,4,36,16,,,,,,,,,,,,
52573786,"Sunday, November 21, 2021",NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11236,2184 CANARSIE ROAD,CANARSIE ROAD,SCHENCK STREET,SHORE PARKWAY,SCHENCK STREET,SHORE PARKWAY,ADDRESS,BROOKLYN,CANARSIE ROAD,In Progress,18 BROOKLYN,3083260007,BROOKLYN,1015361,168935,PHONE,Unspecified,BROOKLYN,40.63030946,-73.88791681,"{'latitude': '40.63030946199053', 'longitude': '-73.8879168055843', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13827,5,2,8,42,,,,,,,,,,,,
52578353,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,11421,76-20 JAMAICA AVENUE,JAMAICA AVENUE,76 STREET,77 STREET,76 STREET,77 STREET,ADDRESS,WOODHAVEN,JAMAICA AVENUE,In Progress,09 QUEENS,4089050010,QUEENS,1021587,191274,ONLINE,Unspecified,QUEENS,40.69160096,-73.86536281,"{'latitude': '40.6916009608998', 'longitude': '-73.86536281029989', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24017,46,3,34,60,,,,,,,,,,,,
52572815,"Sunday, November 21, 2021",DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,10009,14 1 AVENUE,1 AVENUE,EAST    1 STREET,EAST    2 STREET,EAST    1 STREET,EAST    2 STREET,ADDRESS,NEW YORK,1 AVENUE,In Progress,03 MANHATTAN,1004290002,MANHATTAN,987496,202848,ONLINE,Unspecified,MANHATTAN,40.72344702,-73.98828934,"{'latitude': '40.72344701648776', 'longitude': '-73.98828933809341', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11724,70,4,50,5,,,,,,,,,,,,
52572925,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10456,1337 FULTON AVENUE,FULTON AVENUE,EAST  169 STREET,EAST  170 STREET,EAST  169 STREET,EAST  170 STREET,ADDRESS,BRONX,FULTON AVENUE,In Progress,03 BRONX,2029250072,BRONX,1011161,242876,ONLINE,Unspecified,BRONX,40.83327289,-73.90275234,"{'latitude': '40.833272894369905', 'longitude': '-73.90275234406614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10934,34,5,42,25,,,,,,,,,,,,
52580487,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11435,138-06 LAKEWOOD AVENUE,LAKEWOOD AVENUE,VAN WYCK EXPRESSWAY,139 STREET,VAN WYCK EXPRESSWAY,139 STREET,ADDRESS,JAMAICA,LAKEWOOD AVENUE,In Progress,12 QUEENS,4119230063,QUEENS,1037905,189237,ONLINE,Unspecified,QUEENS,40.68592599,-73.8065365,"{'latitude': '40.68592599322625', 'longitude': '-73.80653650143364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24670,41,3,46,61,,,,,,,,,,,,
52578412,"Sunday, November 21, 2021",NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11218,2 DITMAS AVENUE,DITMAS AVENUE,40 STREET,MCDONALD AVENUE,40 STREET,MCDONALD AVENUE,ADDRESS,BROOKLYN,DITMAS AVENUE,In Progress,12 BROOKLYN,3053940001,BROOKLYN,990093,170788,MOBILE,Unspecified,BROOKLYN,40.63544826,-73.97894788,"{'latitude': '40.63544825862541', 'longitude': '-73.97894788455321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17620,2,2,27,39,,,,,,,,,,,,
52579645,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10013,39 LISPENARD STREET,LISPENARD STREET,CHURCH STREET,BROADWAY,CHURCH STREET,BROADWAY,ADDRESS,NEW YORK,LISPENARD STREET,In Progress,01 MANHATTAN,1002107501,MANHATTAN,983306,201520,ONLINE,Unspecified,MANHATTAN,40.71980252,-74.0034055,"{'latitude': '40.71980252235326', 'longitude': '-74.00340550224801', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12076,56,4,32,1,,,,,,,,,,,,
52574239,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10002,14 ORCHARD STREET,ORCHARD STREET,CANAL STREET,HESTER STREET,CANAL STREET,HESTER STREET,ADDRESS,NEW YORK,ORCHARD STREET,In Progress,03 MANHATTAN,1002987501,MANHATTAN,986547,199851,ONLINE,Unspecified,MANHATTAN,40.71522127,-73.99171409,"{'latitude': '40.715221270038704', 'longitude': '-73.99171408791376', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723,70,4,32,4,,,,,,,,,,,,
52574838,"Sunday, November 21, 2021",NYPD,New York City Police Department,Encampment,N/A,Subway,,,,,,,,,,,In Progress,Unspecified MANHATTAN,,MANHATTAN,984792,211030,MOBILE,Unspecified,MANHATTAN,40.74590517,-73.99804396,"{'latitude': '40.74590516936978', 'longitude': '-73.9980439561389', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12074,12,4,10,6,E,Other,,,,,,,,,,
52575480,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,90 PITT STREET,PITT STREET,RIVINGTON STREET,MARIE CHRISTOPHER WAY,RIVINGTON STREET,MARIE CHRISTOPHER WAY,ADDRESS,NEW YORK,PITT STREET,In Progress,03 MANHATTAN,1003380001,MANHATTAN,989223,201285,ONLINE,Unspecified,MANHATTAN,40.71915616,-73.98205996,"{'latitude': '40.71915615654308', 'longitude': '-73.98205995916315', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723,70,4,50,4,,,,,,,,,,,,
52577294,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11361,47-20 BELL BOULEVARD,BELL BOULEVARD,47 AVENUE,48 AVENUE,47 AVENUE,48 AVENUE,ADDRESS,BAYSIDE,BELL BOULEVARD,In Progress,11 QUEENS,4073300023,QUEENS,1048654,214990,ONLINE,Unspecified,QUEENS,40.75653982,-73.76753264,"{'latitude': '40.756539823188305', 'longitude': '-73.76753263942949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14196,26,3,20,69,,,,,,,,,,,,
52576266,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11224,2820 WEST   32 STREET,WEST   32 STREET,NEPTUNE AVENUE,MERMAID AVENUE,NEPTUNE AVENUE,MERMAID AVENUE,ADDRESS,BROOKLYN,WEST   32 STREET,In Progress,13 BROOKLYN,3070070001,BROOKLYN,984618,149012,PHONE,Unspecified,BROOKLYN,40.57567951,-73.9986753,"{'latitude': '40.575679506055835', 'longitude': '-73.99867529592098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18184,21,2,45,35,,,,,,,,,,,,
52578617,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10456,381 EAST  166 STREET,EAST  166 STREET,CLAY AVENUE,WEBSTER AVENUE,CLAY AVENUE,WEBSTER AVENUE,ADDRESS,BRONX,EAST  166 STREET,In Progress,04 BRONX,2024260001,BRONX,1008570,241456,MOBILE,Unspecified,BRONX,40.82938292,-73.91212052,"{'latitude': '40.829382918975035', 'longitude': '-73.9121205219494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10934,50,5,42,27,,,,,,,,,,,,
52577486,"Sunday, November 21, 2021",NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11205,14 AUBURN PLACE,AUBURN PLACE,ST EDWARDS STREET,NORTH ELLIOTT PLACE,ST EDWARDS STREET,NORTH ELLIOTT PLACE,ADDRESS,BROOKLYN,AUBURN PLACE,In Progress,02 BROOKLYN,3020400001,BROOKLYN,990753,192251,PHONE,Unspecified,BROOKLYN,40.69435897,-73.97654923,"{'latitude': '40.69435896791687', 'longitude': '-73.97654922655587', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17212,68,2,48,55,,,,,,,,,,,,
